source,cluster,n_pleio_pos,n_pleio_neg,n_pleio_none,n_pleio_any,n_pleio_net,n_bfa_envs,wmu_x_home,wse_home,wmu_x_away,wse_away,n_bcs,wsd_away
21C,1,3,1,4,4,2,8,-0.009362821221965975,0.00374048456608625,0.01715905944950396,0.010366188663139675,1,0.029320009195060705
21C,2,0,6,2,6,-6,8,-0.016720518761163223,0.005912981642531541,-0.0460322896638035,0.00963645962741284,2,0.027256023796696043
21C,3,8,0,0,8,8,8,0.04781744157487275,0.0029692459140247375,0.06430876983110355,0.004339252040798526,1,0.012273258173304814
37C,1,2,1,5,3,1,8,-0.004304245151360413,0.0019628331321622557,0.008729640818895214,0.0028729397610322252,2,0.008125900747865384
37C,2,0,3,5,3,-3,8,-0.0127552446358795,0.0082299364317523,-0.0033244654221935943,0.0032691565182430093,1,0.009246570971239342
CLM,1,1,3,4,4,-2,8,NA,NA,0.0019196331099127148,0.009261045729509794,17,0.02619419294486037
CLM,2,1,4,3,5,-3,8,NA,NA,2.0407854122039877e-4,0.010866974118881994,39,0.03073644436176066
CLM,3,1,6,1,7,-5,8,NA,NA,-0.03734478603220582,0.017188858344875865,1,0.0486174331860668
CLM,4,1,4,3,5,-3,8,NA,NA,-0.012641574808257094,0.006932637466250785,3,0.01960845985557542
CLM,5,1,7,0,8,-6,8,NA,NA,-0.021831237109918057,0.016305720778144295,1,0.04611954293744088
CLM,6,1,5,2,6,-4,8,NA,NA,0.0061416027787935,0.014582388035311453,4,0.04124522186264922
CLM,7,1,1,6,2,0,8,NA,NA,0.004753166458974446,0.009296966692800685,1,0.02629579277177934
CLM,8,2,2,4,4,0,8,NA,NA,0.002949476106654188,0.012772858929963455,1,0.036127100658065237
FLC4,1,4,2,2,6,2,8,0.07340856371078473,0.001213545384039732,0.015388798268162836,0.01384849557703048,2,0.039169460527000655
FLC4,10,2,1,5,3,1,8,0.07944109792311918,0.005422589141890633,0.012978128439198546,0.007110360705336604,4,0.020111137085703504
FLC4,11,3,3,2,6,0,8,0.07100048285125238,0.004897275788725688,-0.010935609957727237,0.007525311341988861,1,0.021284794721841447
FLC4,12,1,6,1,7,-5,8,0.07327404095126241,5.32592026626702e-4,-0.012025272309484233,0.0017554317444392219,2,0.004965110761612417
FLC4,13,1,4,3,5,-3,8,0.05915839530191875,0.005461856205199975,-0.021669721364859555,0.005831742709458361,1,0.01649465926397287
FLC4,2,3,5,0,8,-2,8,0.06541588237781203,0.006300145000276006,-2.705554101020157e-4,0.01260582786007092,2,0.03565466544930582
FLC4,3,0,6,2,6,-6,8,-0.0018609917429408126,0.01585426442035125,-0.06262102116263449,0.009479353571040386,1,0.02681166076539029
FLC4,4,1,0,7,1,1,8,0.07960461605958186,0.01598560015034677,-3.6869507089406123e-4,0.003323475665458452,23,0.00940020872061658
FLC4,5,2,1,5,3,1,8,0.08009909682919229,0.006927594062179707,0.003396456332870696,0.003315777013959447,16,0.009378433645892827
FLC4,6,1,2,5,3,-1,8,0.08416965501052175,0.005429357696724904,-0.002130979192919334,0.002520926886324047,4,0.00713025798478089
FLC4,7,2,1,5,3,1,8,0.0590092709051417,0.009232443807546733,-0.003772147416743877,0.010305277632426264,9,0.029147726783594643
FLC4,8,2,3,3,5,-1,8,0.07979933562764902,0.005350732899809667,0.012234746259757743,0.004889771841934752,2,0.013830363311548395
FLC4,9,2,4,2,6,-2,8,0.068627121532395,0.001320707051549443,-0.0428797295425782,0.01693902449727543,2,0.04791079635483403
GlyEtOH,1,0,4,4,4,-4,8,0.05871289037446125,0.04839344876299527,-0.014616256832299444,0.009821374271745694,13,0.027779041392489885
GlyEtOH,10,4,2,2,6,2,8,0.12824163418367626,0.009389141599138425,0.003782570801003109,0.013102652550368696,1,0.03705989787958767
GlyEtOH,11,1,4,3,5,-3,8,0.10879436922053243,0.004098110010958814,-0.02928666003939062,0.008274669553783894,5,0.02340429981423382
GlyEtOH,12,2,3,3,5,-1,8,0.06931152537958363,0.011467237609291513,-1.959487146550932e-4,0.00768798299154576,1,0.02174489962787539
GlyEtOH,13,3,2,3,5,1,8,0.13280376861361376,0.009952434247993138,-0.007551824909344265,0.013661097859520922,1,0.038639419739681095
GlyEtOH,14,5,2,1,7,3,8,0.12478465817242462,0.009765395536632512,0.009932290814780167,0.016372336354979266,1,0.04630796024189153
GlyEtOH,2,5,3,0,8,2,8,0.12496892582513372,0.007145306087313735,0.02393571777526417,0.007526646324038957,27,0.02128857062128299
GlyEtOH,3,2,1,5,3,1,8,0.09380804613465467,0.014173380687264623,0.00492564637433729,0.004980047305610642,14,0.01408570088170832
GlyEtOH,4,3,3,2,6,0,8,0.05290002501152765,0.024426391810752113,0.06076998757809086,0.015399354148334191,2,0.04355595097672119
GlyEtOH,5,1,1,6,2,0,8,0.07464489556267206,0.011960563990655614,-0.005089485147521918,0.003362397648370315,4,0.009510296712833401
GlyEtOH,6,1,3,4,4,-2,8,0.11804117286621825,0.010162653729909337,-0.011136265146129143,0.007866622353955126,1,0.022250168046061405
GlyEtOH,7,2,4,2,6,-2,8,0.0881176351722445,0.010742163362126625,-0.01188658097325236,0.009594946391847423,1,0.02713860663518684
GlyEtOH,8,1,3,4,4,-2,8,0.13828417183950376,0.01033254811877195,-0.021095611836075986,0.006381931018829582,1,0.01805082680191668
GlyEtOH,9,3,1,4,4,2,8,0.11673954648589813,0.010647249535796788,0.004614622909743955,0.006458621084149164,1,0.018267739062865142
pH3_8,1,2,3,3,5,-1,8,-0.01734922067391875,0.007340477207515563,2.495624002214489e-4,0.006325369658256994,1,0.01789084711546062
pH3_8,2,0,6,2,6,-6,8,-0.0547163647780075,0.015541053919255,-0.036062354571752976,0.008148456711175893,1,0.02304731598671003
pH3_8,3,0,6,2,6,-6,8,-0.029036283640379124,0.010286277889206975,-0.013566354596535561,0.007471226650153974,1,0.021131820112422116
pH3_8,4,0,1,7,1,-1,8,-0.008592630975622559,0.004491108182487227,6.806596496629706e-4,0.0021365604734098834,5,0.006043105596653075
pH3_8,5,0,4,4,4,-4,8,-0.030282849796715625,0.009385467709828387,-0.01961557737218651,0.003382409854381224,1,0.009566899779140665
pH3_8,6,0,3,5,3,-3,8,-0.014897070850540876,0.008523364183822576,-0.014659539964415678,0.007018813397207075,1,0.019852202196192447
pH7_3,1,2,3,3,5,-1,8,0.007873917880625523,0.0033970058659075772,-0.004223816783813396,0.004468671954514262,65,0.012639312967740714
pH7_3,2,0,6,2,6,-6,8,-0.04384666385763537,0.009583131775181638,-0.03286068870810775,0.00811636926205319,1,0.022956558975247465
SC,1,2,0,6,2,2,8,0.00918839229020285,0.004140584889826412,0.006321452877432458,0.004149077602204224,1,0.01173536363275131
SC,2,0,3,5,3,-3,8,-0.002081464195110811,0.00708816148714411,-0.012779594970188582,0.002144856047917436,3,0.006066569024605591
SC,3,0,3,5,3,-3,8,-0.015091952277210875,0.006049978511467,-0.00764283263752279,0.004591999460820004,1,0.01298813583180318
SC,4,3,0,5,3,3,8,0.016402599233184875,0.00376324603642085,0.0044033150596076605,0.0032064991846378066,1,0.009069349269306115
SC,5,2,1,5,3,1,8,0.008736626045780092,0.005054924243172534,0.016751714191973955,0.005158970528346576,2,0.01459177217814164
SC,6,1,0,7,1,1,8,0.0042231754542201875,0.0047458485376840375,0.0065103617560826966,0.004605255718598973,1,0.013025630190877843
SC,7,0,5,3,5,-5,8,-0.07757389644825463,0.014057046214623125,-0.06163497290518234,0.007652630905288075,1,0.021644908828187787
SC,8,0,6,2,6,-6,8,-0.055170004968063374,0.012375284981906112,-0.034289102653315896,0.00938506430449635,1,0.026544970446324714
SC,9,1,1,6,2,0,8,0.0088249234815054,0.004266906273645587,-0.0057974006678997835,0.0035704775720817763,1,0.010098835613174017
YPD,1,8,0,0,8,8,8,0.09229795489638724,0.0019474740049982126,0.07505935283935196,0.006783378212736449,1,0.019186290934316105
YPD,2,0,0,8,0,0,8,-0.0040718660941984055,0.011500881271815753,7.736849540455232e-4,3.9517086029318925e-4,6,0.0011177119801625438
