source,p_wgs,p_adapted_w_wgs,n_clusters,bc_set,bc_count
GlyEtOH,0.4,0.48,15,n_bcs,121
GlyEtOH,0.4,0.48,15,n_bcs_adapted,73
GlyEtOH,0.4,0.48,15,n_bcs_adapted_wgs,35
FLC4,0.42,0.42,13,n_bcs,69
FLC4,0.42,0.42,13,n_bcs_adapted,69
FLC4,0.42,0.42,13,n_bcs_adapted_wgs,29
CLM,0.58,0.58,8,n_bcs,67
CLM,0.58,0.58,8,n_bcs_adapted,67
CLM,0.58,0.58,8,n_bcs_adapted_wgs,39
pH7_3,0,0,3,n_bcs,143
pH7_3,0,0,3,n_bcs_adapted,66
pH7_3,0,0,3,n_bcs_adapted_wgs,0
SC,0,0,10,n_bcs,262
SC,0,0,10,n_bcs_adapted,12
SC,0,0,10,n_bcs_adapted_wgs,0
pH3_8,0.01,0,7,n_bcs,128
pH3_8,0.01,0,7,n_bcs_adapted,10
pH3_8,0.01,0,7,n_bcs_adapted_wgs,0
YPD,0,0,3,n_bcs,234
YPD,0,0,3,n_bcs_adapted,9
YPD,0,0,3,n_bcs_adapted_wgs,0
21C,0,0,4,n_bcs,300
21C,0,0,4,n_bcs_adapted,4
21C,0,0,4,n_bcs_adapted_wgs,0
37C,0,0,3,n_bcs,119
37C,0,0,3,n_bcs_adapted,3
37C,0,0,3,n_bcs_adapted_wgs,0
